,index,Movie,P_Genre,S_Genre,T_Genre,CLuster_Id,Cluster_Id
0,0,x,4,3,1,,0
1,1,crimes of the future,2,0,7,,15
2,2,it,4,9,5,,2
3,3,hellboy,4,3,7,,17
4,4,old,6,4,5,,14
5,5,scream,1,7,11,,4
6,6,hocus pocus,4,3,0,,18
7,7,overlord,2,5,0,,9
8,8,the shining,6,4,11,,6
9,9,the thing,4,3,1,,0
10,10,winnie-the-pooh: blood and honey,4,3,1,,0
11,11,alien,5,9,5,,2
12,12,fresh,2,0,0,,3
13,13,hereditary,0,6,5,,12
14,14,tusk,1,7,11,,4
15,15,sweeney todd: the demon barber of fleet street,6,2,3,,11
16,16,fear street: 1978,6,3,7,,1
17,17,constantine,6,3,7,,1
18,18,ku bei,6,4,11,,6
19,19,spiral: from the book of saw,0,3,1,,7
20,20,the conjuring,1,3,7,,5
21,21,predator,2,0,0,,3
22,22,us,6,4,5,,14
23,23,scream 6,4,3,1,,0
24,24,a quiet place,4,3,7,,17
25,25,jaws 2,3,6,5,,8
26,26,the exorcist,2,0,0,,3
27,27,the lighthouse,2,0,0,,3
28,28,split,6,4,11,,6
29,29,jennifer's body,4,3,7,,17
30,30,orphan,2,5,0,,9
31,31,what ever happened to baby jane?,3,3,0,,18
32,32,texas chainsaw massacre,6,3,0,,10
33,33,bodies bodies bodies,4,9,5,,2
34,34,titane,6,1,5,,11
35,35,the crow,6,4,11,,6
36,36,orphan: first kill,0,6,5,,12
37,37,attack of the puppet people,0,3,1,,7
38,38,final destination,0,6,5,,12
39,39,world war z,2,0,0,,3
40,40,bird box,4,9,5,,2
41,41,army of the dead,2,5,0,,9
42,42,you won't be alone,2,0,0,,3
43,43,life,6,4,5,,14
44,44,carrie,4,3,1,,0
45,45,the visit,2,0,0,,3
46,46,11th hour cleaning,4,3,1,,0
47,47,where the scary things are,2,0,0,,3
48,48,sleepy hollow,4,3,1,,0
49,49,the menu,1,3,2,,7
50,50,don't breathe,4,3,1,,0
51,51,cult of chucky,6,1,5,,11
52,52,the others,2,0,0,,3
53,53,antlers,6,1,5,,11
54,54,the meg,3,3,0,,18
55,55,ghostland,4,3,1,,0
56,56,event horizon,6,3,7,,1
57,57,wrong turn,6,3,7,,1
58,58,death note,6,3,7,,1
59,59,the babysitter,4,3,1,,0
60,60,they live,4,3,1,,0
61,61,the craft,2,5,0,,9
62,62,dashcam,2,0,0,,3
63,63,the house that jack built,0,6,11,,4
64,64,choose or die,3,3,0,,18
65,65,gremlins,6,3,7,,1
66,66,bone tomahawk,4,9,5,,2
67,67,i spit on your grave,1,9,5,,13
68,68,alien resurrection,6,3,7,,1
69,70,the ritual,2,0,0,,3
70,71,crimson peak,2,0,0,,3
71,72,evil dead,4,3,1,,0
72,73,the boy,4,3,0,,18
73,74,cloverfield,6,3,0,,10
74,75,the covenant,2,0,0,,3
75,76,final destination 3,7,3,1,,10
76,77,the neon demon,2,0,0,,3
77,78,the forever purge,4,3,0,,18
78,79,alien³,6,3,7,,1
79,80,death becomes her,2,5,0,,9
80,81,mandy,1,9,5,,13
81,82,grave,6,3,7,,1
82,83,candyman,1,3,0,,7
83,84,the shallows,6,4,11,,6
84,85,the conjuring 2,6,4,5,,14
85,86,no one gets out alive,4,3,1,,0
86,87,final destination 2,7,3,1,,10
87,88,annabelle,6,2,11,,19
88,89,studio 666,4,3,1,,0
89,90,house of wax,2,0,0,,3
90,91,scream 2,6,2,5,,11
91,92,the faculty,1,3,10,,16
92,93,scooby-doo 2: monsters unleashed,6,9,5,,2
93,94,eden lake,4,3,1,,0
94,95,case 39,6,9,5,,2
95,96,nightbreed,6,3,7,,1
96,97,the frighteners,2,0,7,,15
97,98,sleepaway camp,5,4,4,,14
98,99,anaconda,4,9,5,,2
99,100,the pale blue eye,4,3,0,,18
100,101,in the mouth of madness,3,3,1,,0
101,102,28 weeks later,0,3,1,,7
102,103,the turning,6,3,7,,1
103,104,the hunger,4,9,5,,2
